행정구역별(도/특별시/광역시),행정구역별(시/구),총사고발생건수,총자동차수,사망자수,부상자수,주민등록인구수(등록외국인포함),총사고유형별,차대사람,차대차,차량단독,차량기타,총사고자동차종류별,승용차,승합차,화물,특수,이륜차,자동차기타
경상북도,영덕군,256,19363,6,402,37249,256,38,183,35,0,256,141,9,65,3,18,20
경상북도,청도군,172,25790,10,227,43229,172,18,136,18,0,172,88,8,49,1,13,13
경상북도,고령군,159,21202,8,219,32891,159,24,120,15,0,159,84,2,43,0,11,19
경상북도,성주군,234,32003,7,341,44970,234,32,183,19,0,234,122,5,71,2,20,14
경상북도,칠곡군,661,70529,15,994,118430,661,90,518,53,0,661,423,29,109,7,41,52
경상북도,예천군,179,30282,4,236,56165,179,29,128,22,0,179,86,8,50,1,23,11
경상북도,봉화군,84,18282,11,131,31812,84,11,61,12,0,84,46,1,30,0,4,3
경상북도,울진군,93,26681,5,121,50104,93,21,53,19,0,93,53,2,19,0,10,9
경상북도,울릉군,11,5753,2,10,9227,11,5,3,3,0,11,6,2,2,0,0,1
경상남도,창원시,3070,599336,69,4336,1050207,3070,657,2281,132,0,3070,2144,185,372,32,234,103
경상남도,진주시,642,171220,26,825,352754,642,207,407,28,0,642,414,23,96,6,71,32
경상남도,통영시,682,54079,10,1014,131974,682,150,493,39,0,682,450,31,88,4,89,20
경상남도,사천시,617,58003,10,956,114032,617,115,459,43,0,617,418,21,93,1,60,24
경상남도,김해시,2001,281502,27,2813,559242,2001,312,1597,92,0,2001,1278,67,253,16,313,74
경상남도,밀양시,482,59773,8,714,107419,482,96,371,15,0,482,308,14,107,1,27,25
경상남도,거제시,820,108296,14,1108,252395,820,154,616,50,0,820,546,28,97,10,115,24
경상남도,양산시,1200,174259,18,1616,358005,1200,205,937,58,0,1200,807,53,136,15,141,48
경상남도,의령군,127,15250,5,178,27518,127,14,98,15,0,127,58,5,36,4,15,9
경상남도,함안군,267,59904,8,346,67261,267,42,190,35,0,267,162,5,56,0,24,20
경상남도,창녕군,322,36351,9,501,63634,322,38,244,40,0,322,173,9,78,0,43,19
경상남도,고성군,255,27025,10,375,52498,255,35,194,26,0,255,155,12,55,0,21,12
경상남도,남해군,207,20383,6,307,43738,207,28,143,36,0,207,132,5,44,0,16,10
경상남도,하동군,110,24640,9,140,45255,110,19,76,15,0,110,52,3,29,1,16,9
경상남도,산청군,179,20989,9,282,35430,179,19,127,33,0,179,96,2,60,0,13,8
경상남도,함양군,142,19918,5,214,39506,142,26,91,25,0,142,73,7,40,0,18,4
경상남도,거창군,253,32974,18,317,62005,253,28,198,27,0,253,126,10,58,0,43,16
경상남도,합천군,215,23965,12,293,44582,215,31,138,46,0,215,102,4,53,3,31,22
제주특별자치도,제주시,2881,509181,44,4269,507358,2881,540,2179,162,0,2881,2052,128,376,,224,101
제주특별자치도,서귀포시,1149,106161,24,1862,190220,1149,171,839,139,0,1149,766,35,212,,103,33
